unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
2316 HASTE ST #203B,7/6/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #203C,6/7/2017,$505.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #204A,5/12/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #204B,12/2/2016,$634.26,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #205A,5/27/2017,$615.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #205B,9/13/2014,$417.54,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #206A,5/1/2017,$505.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #206B,6/19/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #206C,2/7/2017,$620.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #207A,7/19/2016,$404.09,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #207B,3/27/2017,$595.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #208A,7/1/2015,$645.68,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #208B,2/27/2016,$634.26,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #208C,7/8/2016,$496.16,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #209A,7/2/2016,$496.16,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #209B,5/17/2017,$415.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #209C,5/30/2015,$702.95,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #210A,1/24/2018,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #210B,5/1/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #211A,6/12/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #211B,6/1/2012,$433.13,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #211C,7/9/2016,$496.16,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #213A,1/1/2006,$575.37,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #213B,8/9/2016,$608.69,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #213C,7/12/2016,$496.16,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #215A,7/1/2015,$411.36,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #215B,7/6/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #215C,5/10/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #300A,1/15/2016,$404.09,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #300B,10/3/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #300C,7/5/2017,$415.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #301A,n/a,n/a,<p>MISC - Exempt-Misc since 3/1/1996</p>,"<p>Electricity, Furnishings, Garbage, Gas, Laundry Access, Water</p>",-1,-1
2316 HASTE ST #301B,n/a,n/a,<p>MISC - Exempt-Misc since 7/1/2012</p>,"<p>Electricity, Furnishings, Garbage, Gas, Laundry Access, Water</p>",-1,-1
2316 HASTE ST #301C,n/a,n/a,<p>MISC - Exempt-Misc since 7/1/2012</p>,"<p>Electricity, Furnishings, Garbage, Gas, Laundry Access, Water</p>",-1,-1
2316 HASTE ST #302A,7/7/2016,$404.09,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #302B,5/18/2016,$608.69,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #302C,2/1/2018,$545.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #303A,7/1/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #303B,5/22/2015,$645.68,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #303C,6/17/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #304A,6/26/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #304B,7/1/2015,$411.36,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #304C,8/1/2016,$496.16,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #305A,11/7/2016,$608.69,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #305B,7/6/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #306A,7/15/2015,$645.68,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #306B,5/24/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #306C,6/1/2016,$496.16,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #307A,10/26/2017,$415.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #307B,7/8/2016,$608.69,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #308A,5/1/2016,$496.16,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #308B,7/18/2016,$634.26,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #308C,10/22/2015,$645.68,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #309A,1/28/2017,$620.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #309B,5/16/2016,$690.53,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #310A,6/23/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #310B,7/6/2017,$640.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #310C,5/4/2015,$505.09,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #311A,7/1/2011,$691.39,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #311B,7/1/2013,$425.87,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #311C,7/15/2017,$505.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #312A,2/3/2018,$545.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #312B,6/1/2011,$663.53,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #312C,10/27/2017,$415.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #312D,7/2/2016,$496.16,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #313A,6/2/2016,$496.16,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #313B,2/1/2018,$545.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #313C,6/3/2014,$512.67,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #315A,1/3/2015,$411.36,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #315B,5/24/2016,$634.26,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
2316 HASTE ST #315C,1/17/2017,$620.00,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Laundry Access, Water</p>",0,1
,n/a,n/a,<p>MISC - Exempt-Misc since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
1610 TYLER ST,6/1/2006,"$1,678.18",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",3,4
1612 TYLER ST,9/1/2006,"$1,558.31",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Storage, Water</p>",2,2
2548 BENVENUE AVE,6/1/2016,"$3,324.75",<p>RENTED - Rented or Available</p>,"<p>Appliances, Storage</p>",2,3
2550 BENVENUE AVE,6/1/2015,"$3,020.10",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Storage, Water</p>",2,4
2623 PARKER ST #A,7/1/2015,"$3,020.10",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,2,4
2623 PARKER ST #B,7/1/2013,"$2,684.66",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",2,2
1177 DELAWARE ST,1/1/1981,$808.87,<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,0
1179 DELAWARE ST,n/a,$944.97,<p>RENTED - Rented or Available since 7/27/1992</p>,<p>Garbage</p>,2,-1
1181 DELAWARE ST,n/a,$774.22,<p>RENTED - Rented or Available since 3/30/1994</p>,<p>Garbage</p>,2,-1
1183 DELAWARE ST,2/15/2007,"$1,583.41",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",2,2
1363 FRANCISCO ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 3/30/1987</p>,<p>(no active services)</p>,-1,-1
1363 FRANCISCO ST #B,n/a,n/a,<p>NAR - Not Available for Rent since 6/15/2015</p>,<p>(no active services)</p>,-1,-1
1363 FRANCISCO ST #C,10/1/2005,"$1,967.78",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking</p>",2,1
1603 FAIRVIEW ST #A,7/1/2017,"$2,250.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Laundry Access, Water</p>",3,3
1603 FAIRVIEW ST #B,8/1/2014,"$1,263.16",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",0,1
1605 FAIRVIEW ST #MID,9/22/2016,"$1,534.50",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Water</p>",0,1
1605 FAIRVIEW ST #BACK,5/1/2010,"$1,744.81",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",2,2
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 10/1/2002</p>","<p>Parking, Storage, Water</p>",-1,-1
1636 8TH ST #1,9/3/2015,"$2,186.97",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",2,2
1636 8TH ST #2,7/10/2014,"$2,008.36",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Laundry Access</p>",2,2
1636 8TH ST #3,1/18/2014,"$2,087.65",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",2,2
1636 8TH ST #4,1/1/2015,"$2,186.97",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,2
1638 8TH ST,10/1/2006,"$1,857.99",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",2,3
2211 GRANT ST,n/a,n/a,<p>OOCC - Owner Occupied since 6/1/2006</p>,"<p>Garbage, Water</p>",-1,-1
2213 GRANT ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 3/16/2017</p>,<p>Garbage</p>,-1,-1
2213 GRANT ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 4/2/2010</p>,"<p>Garbage, Other</p>",-1,-1
2709 DANA ST #LOWER,n/a,n/a,<p>OOCC - Owner Occupied since 9/22/2004</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Sewer, Storage, Water</p>",-1,-1
2709 DANA ST #UPPER,n/a,n/a,<p>OOCC - Owner Occupied since 9/22/2004</p>,"<p>Appliances, Garbage, Water</p>",-1,-1
1731 LA LOMA AVE,6/1/2013,"$7,816.78",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",5,10
1733 LA LOMA AVE,6/1/2015,"$6,092.27",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",4,5
,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/1999</p>,<p>(no active services)</p>,-1,-1
2214 EUNICE ST,8/16/2016,"$2,654.69",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,3
1200 SPRUCE ST,8/15/2014,"$3,118.26",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",2,1
1202 SPRUCE ST,10/15/2009,"$1,477.51",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",0,2
1204 SPRUCE ST,9/1/2012,"$2,187.53",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,1,2
1206 SPRUCE ST,9/14/2016,"$2,245.49",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",0,2
1208 SPRUCE ST,6/1/2013,"$1,752.03",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",0,2
1210 SPRUCE ST,2/1/2013,"$1,671.17",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",0,1
1212 SPRUCE ST,5/31/1980,"$1,048.90",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,0
1214 SPRUCE ST,5/31/1980,"$1,027.20",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,0
,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
1801 FRANCISCO ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/26/1990</p>,<p>(no active services)</p>,-1,-1
1803 FRANCISCO ST,5/31/1980,"$1,323.13",<p>RENTED - Rented or Available</p>,"<p>Garbage, Storage</p>",2,0
1805 FRANCISCO ST,4/1/2006,"$1,828.03",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Sewer</p>",2,2
1723 GRANT ST,12/1/2013,"$1,078.18",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",2,2
3092 KING ST #A,n/a,n/a,<p>(~) MISC - Exempt-Misc since 12/1/1996</p>,<p>Water</p>,-1,-1
3092 KING ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/2014</p>,"<p>Garbage, Water</p>",-1,-1
3094 KING ST,n/a,"$1,960.21",<p>RENTED - Rented or Available since 2/1/2015</p>,"<p>Garbage, Laundry Access, Water</p>",2,-1
1653 PRINCE ST,n/a,n/a,<p>COMM - Commercial since 7/1/1999</p>,<p>(no active services)</p>,-1,-1
3006 HILLEGASS AVE,5/31/1980,$791.51,<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Water</p>",2,0
3008 HILLEGASS AVE,5/31/1980,$743.83,<p>RENTED - Rented or Available</p>,"<p>Garbage, Gas, Parking, Water</p>",2,0
3010 HILLEGASS AVE,5/31/1980,$912.27,<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Water</p>",3,0
3010 HILLEGASS AVE #1/2,10/15/2009,"$1,882.51",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Parking, Storage, Water</p>",2,2
3012 HILLEGASS AVE,8/1/2010,"$1,132.99",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Parking, Storage, Water</p>",1,2
,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Parking, Storage</p>",-1,-1
2145 CEDAR ST,9/17/2016,"$2,961.59",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,2
2147 CEDAR ST,3/1/2003,"$1,155.89",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Sewer, Storage, Water</p>",1,1
2149 CEDAR ST,8/15/2006,"$1,168.72",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Storage, Water</p>",1,1
1548 OXFORD ST,5/31/1980,"$1,009.79",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Storage, Water</p>",2,0
1550 OXFORD ST,8/5/2003,"$1,874.42",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Sewer, Storage, Water</p>",2,1
2020 CALIFORNIA ST,n/a,n/a,<p>OOCC - Owner Occupied since 5/1/1999</p>,<p>(no active services)</p>,-1,-1
2020 CALIFORNIA ST #A,n/a,n/a,<p>(~) MISC - Exempt-Misc since 1/1/2016</p>,<p>(no active services)</p>,-1,-1
2020 CALIFORNIA ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/2002</p>,"<p>Electricity, Garbage, Gas, Sewer, Storage, Water</p>",-1,-1
1743 BLAKE ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 8/15/2016</p>,"<p>Garbage, Water</p>",-1,-1
1743 BLAKE ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/2011</p>,"<p>Garbage, Water</p>",-1,-1
1743 BLAKE ST #1/2,8/2/2008,"$1,586.18",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
1135 JONES ST,12/31/1995,n/a,<p>NEW - New Construction</p>,<p>(no active services)</p>,-1,-1
1468 STANNAGE AVE,12/31/1995,n/a,<p>NEW - New Construction</p>,<p>(no active services)</p>,-1,-1
1581 ARCH ST,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,"<p>Garbage, Other</p>",-1,-1
1581 ARCH ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 3/15/1994</p>,<p>(no active services)</p>,-1,-1
1801 CALIFORNIA ST,12/31/1995,n/a,<p>OOCC - Owner Occupied</p>,<p>(no active services)</p>,-1,-1
1803 CALIFORNIA ST,12/31/1995,n/a,<p>OOCC - Owner Occupied</p>,<p>(no active services)</p>,-1,-1
1600 DELAWARE ST,8/1/2013,"$1,293.81",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
1602 DELAWARE ST,7/4/2006,"$2,517.26",<p>RENTED - Rented or Available</p>,"<p>Garbage, Sewer, Water</p>",2,2
1502 FRANCISCO ST,7/1/2002,"$1,644.50",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,2
1504 FRANCISCO ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 5/1/1999</p>,"<p>Parking, Storage</p>",-1,-1
1531 FAIRVIEW ST,7/1/2011,"$2,481.21",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,3,3
1531 FAIRVIEW ST #A,2/10/2009,"$1,010.66",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",1,1
1531 FAIRVIEW ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 5/1/2012</p>,"<p>Garbage, Storage</p>",-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 5/21/1999</p>,"<p>Furnishings, Laundry Access</p>",-1,-1
3033 DEAKIN ST #2,8/29/2011,"$1,332.60",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Gas, Water</p>",0,1
3033 DEAKIN ST #3,7/1/2015,"$1,978.69",<p>RENTED - Rented or Available</p>,"<p>Gas, Laundry Access</p>",1,2
3033 DEAKIN ST #4,7/20/2011,"$2,168.96",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Gas, Water</p>",2,2
2302 WEBSTER ST #1,11/16/2013,"$2,048.54",<p>RENTED - Rented or Available</p>,"<p>Garbage, Gas, Water</p>",1,2
,n/a,n/a,<p>OOCC - Owner Occupied since 5/1/2001</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 7/1/1999</p>","<p>Garbage, Parking, Storage, Water</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 6/30/2010</p>",<p>(no active services)</p>,-1,-1
2225 ACTON ST,n/a,n/a,<p>OOCC - Owner Occupied since 6/2/2006</p>,"<p>Garbage, Water</p>",-1,-1
2225 ACTON ST #A,n/a,"$1,315.80",<p>RENTED - Rented or Available since 5/15/2014</p>,"<p>Appliances, Laundry Access</p>",1,-1
2227 ACTON ST,9/9/2014,"$1,585.56",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 6/11/2002</p>","<p>Laundry Access, Storage</p>",-1,-1
2901 REGENT ST,n/a,n/a,<p>OOCC - Owner Occupied since 10/1/2005</p>,<p>(no active services)</p>,-1,-1
2500 RUSSELL ST #A,12/15/2014,"$2,431.18",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Storage, Water</p>",2,1
2500 RUSSELL ST #B,6/16/2017,"$2,650.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Parking, Storage, Water</p>",1,1
2306 BONAR ST,n/a,n/a,<p>OOCC - Owner Occupied since 5/1/1979</p>,<p>(no active services)</p>,-1,-1
2306 BONAR ST #08-NA,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 5/1/1979</p>,<p>(no active services)</p>,-1,-1
2819 WOOLSEY ST,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Garbage, Laundry Access, Parking, Storage, Water</p>",-1,-1
2821 WOOLSEY ST,n/a,n/a,<p>OOCC - Owner Occupied since 3/1/1994</p>,"<p>Garbage, Laundry Access, Parking, Storage, Water</p>",-1,-1
1291 UNIVERSITY AVE,6/3/2017,"$1,650.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,4
1293 UNIVERSITY AVE,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/18/2011</p>,"<p>Garbage, Parking, Water</p>",-1,-1
1295 UNIVERSITY AVE,n/a,n/a,<p>(~) MISC - Exempt-Misc since 6/1/2003</p>,"<p>Garbage, Parking, Water</p>",-1,-1
1297 UNIVERSITY AVE,n/a,n/a,<p>(~) MISC - Exempt-Misc since 3/1/2011</p>,"<p>Garbage, Parking, Water</p>",-1,-1
1623 JULIA ST,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,<p>(no active services)</p>,-1,-1
1623 JULIA ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 7/14/1990</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 10/26/1998</p>",<p>(no active services)</p>,-1,-1
1945 HASTE ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 2/18/2004</p>,"<p>Appliances, Garbage, Water</p>",-1,-1
2420 MILVIA ST #A,8/1/2016,"$2,404.05",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,2
2420 MILVIA ST #B,12/5/2015,"$1,926.62",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,2
1500 CHESTNUT ST,n/a,"$1,012.07",<p>RENTED - Rented or Available since 8/1/1998</p>,"<p>Garbage, Parking</p>",2,-1
1502 CHESTNUT ST,n/a,"$2,212.97",<p>RENTED - Rented or Available since 8/1/1998</p>,"<p>Furnishings, Garbage, Parking</p>",3,-1
1511 WALNUT ST #1,n/a,$0.00,<p>RENTED - Rented or Available since 7/1/2001</p>,<p>(no active services)</p>,0,-1
1511 WALNUT ST #2,n/a,$0.00,<p>RENTED - Rented or Available since 7/1/2001</p>,<p>(no active services)</p>,0,-1
1511 WALNUT ST #3,n/a,$0.00,<p>RENTED - Rented or Available since 7/1/2001</p>,<p>(no active services)</p>,0,-1
1513 WALNUT ST,n/a,$577.66,<p>RENTED - Rented or Available since 7/1/2001</p>,"<p>Furnishings, Garbage, Water</p>",1,-1
1770 LA LOMA AVE #8,8/15/2015,"$3,163.81",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",0,2
1770 LA LOMA AVE #9,8/15/2015,"$1,686.05",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Water</p>",0,1
1770 LA LOMA AVE #10,8/15/2015,"$1,550.66",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",0,1
